African,African names are used in various places on the continent of Africa.
Afrikaans,Afrikaans names are used by Afrikaans speakers in the countries of South Africa and Namibia.
Akan,Akan names are used by the Akan people of Ghana and Ivory Coast.
Albanian,"Albanian names are used in the country of Albania, as well as Kosovo and other Albanian communities throughout the world."
Algonquin,Algonquin names are used by the Algonquin people of Ontario and Quebec in Canada.
American,American names are used in the United States.
Amharic,Amharic names are used in Ethiopia.
Ancient,These names were used in various ancient regions.
Ancient Celtic,-
Ancient Greek,-
Ancient Roman,-
Apache,Apache names are used by the Apache peoples of the southwestern United States.
Arabic,"Arabic names are used in the Arab world, as well as some other regions within the larger Muslim world. They are not necessarily of Arabic origin, though most in fact are. Compare also Persian names and Turkish names."
Armenian,"Armenian names are used in the country of Armenia in western Asia, as well as in Armenian diaspora communities throughout the world."
Astronomy,These names occur primarily in astronomy. They are not commonly given to real people.
Aymara,Aymara names are used by the Aymara people of Bolivia and Peru.
Azerbaijani,Azerbaijani names are used by the Azeri people of Azerbaijan and northern Iran.
Bashkir,Bashkir names are used in Bashkortostan in Russia.
Basque,Basque names are used in the Basque Country (northern Spain and southern France).
Belarusian,Belarusian names are used in the country of Belarus in eastern Europe.
Bengali,Bengali names are used in Bangladesh and eastern India.
Berber,Berber names are used by the Berber (Amazigh) people of North Africa.
Biblical (All),These names occur in the Bible (in any language).
Bosnian,"Bosnian names are used by the Bosniak people. For additional names, see Serbo-Croatian names, Arabic names and Turkish names."
Breton,Breton names are used in the region of Brittany in northwest France.
Bulgarian,Bulgarian names are used in the country of Bulgaria in southeastern Europe.
Catalan,"Catalan names are used in Catalonia in eastern Spain, as well as in other Catalan-speaking areas including Valencia, the Balearic Islands, and Andorra."
Celtic Mythology,-
Chechen,"Chechen names are used in Chechnya, a federal subject of Russia."
Chewa,"Chewa names are used in Malawi, Mozambique and Zambia."
Chinese,Chinese names are used in China and in Chinese communities throughout the world. Note that depending on the Chinese characters used these names can have many other meanings besides those listed here.
Choctaw,Choctaw names are used by the Choctaw people of Oklahoma and Mississippi.
Circassian,"Circassian names are used in Circassia, part of the Caucasus region of Russia."
Comanche,Comanche names are used by the Comanche people of the southern United States.
Coptic,These names are used by Coptic Christians in Egypt.
Cornish,Cornish names were used in southwest England in the region around Cornwall.
Corsican,Corsican names are used on the island of Corsica.
Cree,Cree names are used by the Cree people of Canada.
Croatian,Croatian names are used in the country of Croatia and other Croatian communities throughout the world.
Czech,Czech names are used in the Czech Republic in central Europe.
Dagestani,"Dagestani names are used in Dagestan, a federal subject of Russia."
Danish,Danish names are used in the country of Denmark in northern Europe.
Dutch,Dutch names are used in the Netherlands and Flanders.
English,English names are used in English-speaking countries.
Esperanto,Esperanto names are used by speakers of the planned language Esperanto.
Estonian,Estonian names are used in the country of Estonia in northern Europe.
Ethiopian,Ethiopian names are used in the country of Ethiopia in eastern Africa.
Ewe,Ewe names are used by the Ewe people of Ghana and Togo.
Fairy,Fun category
Fantasy,Fantasy category
Faroese,Faroese names are used on the Faroe Islands.
Filipino,Filipino names are used on the island nation of the Philippines.
Finnish,Finnish names are used in the country of Finland in northern Europe.
Flemish,Flemish names are used in Flanders (the northern half of Belgium where Dutch is spoken).
French,French names are used in France and other French-speaking regions.
Frisian,Frisian names are used in Friesland in the northern Netherlands and in East and North Frisia in northwestern Germany.
Galician,Galician names are used in Galicia in northwestern Spain.
Ganda,Ganda names are used by the Ganda people of Uganda.
Georgian,Georgian names are used in the country of Georgia in central Eurasia.
German,German names are used in Germany and other German-speaking areas such as Austria and Switzerland.
Gluttakh,Fantasy category
Goth,Fun category
Greek,Greek names are used in the country of Greece and other Greek-speaking communities throughout the world.
Greek Mythology,-
Greenlandic,Greenlandic names are used by the indigenous people of Greenland.
Hawaiian,Hawaiian names are used by the indigenous people of Hawaii.
Hillbilly,Fun category
Hippy,Fun category
History,These names are used primarily to refer to historical persons. They are not commonly used by other people.
Hmong,Hmong names are used by the Hmong people in southeastern Asia.
Hungarian,Hungarian names are used in the country of Hungary in central Europe.
Ibibio,Ibibio names are used by the Ibibio people of Nigeria.
Icelandic,Icelandic names are used on the island nation of Iceland.
Igbo,Igbo names are used by the Igbo people of Nigeria.
Indian,Indian names are used in India and in Indian communities throughout the world.
Indian Mythology,-
Indigenous Australian,Indigenous Australian names are used by the indigenous people of Australia (also called Aborigines).
Indonesian,Indonesian names are used on the island nation of Indonesia in southeast Asia.
Ingush,"Ingush names are used in Ingushetia, a federal subject of Russia."
Inuit,Inuit names are used by the Inuit people of the North American Arctic.
Irish,Irish names are used on the island of Ireland as well as elsewhere in the Western World as a result of the Irish diaspora.
Iroquois,Iroquois names are used by the Iroquois people of the United States and Canada.
Italian,Italian names are used in Italy and other Italian-speaking regions such as southern Switzerland.
Japanese,Japanese names are used in Japan and in Japanese communities throughout the world. Note that depending on the Japanese characters used these names can have many other meanings besides those listed here.
J rriais,J rriais names are used on the island of Jersey between Britain and France.
Jewish,"These names are used by Jews. For more specific lists, see Hebrew names and Yiddish names."
Kazakh,Kazakh names are used in the country of Kazakhstan in central Eurasia.
Khmer,Khmer names are used in the country of Cambodia in southeastern Asia.
Kikuyu,Kikuyu names are used by the Kikuyu people of Kenya.
Korean,Korean names are used in South and North Korea. Note that depending on the Korean characters used these names can have many other meanings besides those listed here.
Kreatyve,Fun category
Kurdish,Kurdish names are used by the Kurdish people of the Middle East.
Kyrgyz,Kyrgyz names are used in the country of Kyrgyzstan in central Eurasia.
Latvian,Latvian names are used in the country of Latvia in northern Europe.
Limburgish,"Limburgish names are used in the Limburg region, which straddles the border between Belgium, the Netherlands and Germany."
Literature,These names occur primarily in literature. They are not commonly given to real people.
Lithuanian,Lithuanian names are used in the country of Lithuania in northern Europe.
